Sequence Length, Loop Time, Recursion Time
1, 0.0, 0.0
2, 0.0, 0.0
3, 0.0, 0.0
4, 0.0, 0.0
5, 0.0, 0.0
6, 0.0, 0.0
7, 0.0, 0.0010001659393310547
8, 0.0, 0.0
9, 0.0, 0.0
10, 0.0, 0.0
11, 0.0029981136322021484, 0.0
12, 0.0, 0.001001596450805664
13, 0.0, 0.0
14, 0.0, 0.0009996891021728516
15, 0.0, 0.0009999275207519531
16, 0.0, 0.002000093460083008
17, 0.0, 0.003000974655151367
18, 0.0, 0.003998756408691406
19, 0.0009989738464355469, 0.0060002803802490234
20, 0.0010128021240234375, 0.008495807647705078
21, 0.0005016326904296875, 0.01601696014404297
22, 0.0, 0.029000520706176758
23, 0.0, 0.03599882125854492
24, 0.0, 0.08301377296447754
25, 0.0, 0.1445317268371582
26, 0.0005006790161132812, 0.19353961944580078
27, 0.0, 0.2385404109954834
28, 0.0, 0.37905383110046387
29, 0.0, 0.5770730972290039
30, 0.0004999637603759766, 0.9296200275421143
31, 0.0010004043579101562, 1.5591859817504883
32, 0.0009999275207519531, 2.5442562103271484
33, 0.0, 3.832590103149414
34, 0.0, 5.651956558227539
35, 0.0, 9.409186363220215
36, 0.0, 15.931944608688354
37, 0.0, 28.135814905166626
38, 0.0, 44.82567644119263
39, 0.0, 87.2341103553772
40, 0.0, 132.79490065574646
41, 0.0005002021789550781, 190.4000358581543
42, 0.0, 314.5499722957611
43, 0.0009996891021728516, 475.6970727443695
44, 0.0009706020355224609, 695.9831209182739
45, 0.0, 1167.6104426383972
46, 0.0005011558532714844, 1764.5561437606812
47, 0.0005006790161132812, 2784.145277261734
48, 0.0, 4436.681270599365
49, 0.0, 7260.217725515366
50, 0.0, 11657.088570356369